3891,4303
0,99,3
0,257,1
0,318,1
0,547,3
0,613,4
0,638,6
0,746,1
0,761,1
0,806,1
0,1034,3
0,1368,1
0,1415,4
0,1880,4
0,2145,1
0,2236,1
0,2516,1
0,2743,6
0,2829,1
0,2906,3
0,3096,1
0,3127,1
0,3153,1
0,3192,1
0,3245,2
0,3614,1
0,4045,2
1,48,4
1,95,4
1,111,4
1,115,11
1,128,2
1,142,1
1,165,1
1,177,6
1,208,1
1,326,1
1,432,2
1,445,1
1,466,1
1,565,1
1,591,1
1,595,3
1,638,1
1,868,1
1,901,1
1,936,1
1,980,1
1,1037,1
1,1042,1
1,1114,2
1,1274,1
1,1276,1
1,1381,1
1,1415,1
1,1646,1
1,1758,1
1,1826,1
1,1970,1
1,1989,1
1,2186,3
1,2725,1
1,2930,1
1,2971,3
1,3095,1
1,3639,2
1,3665,2
1,3747,1
1,3754,1
1,3809,1
1,4129,2
1,4133,1
1,4251,1
2,74,1
2,148,4
2,361,1
2,515,1
2,679,3
2,849,1
2,901,1
2,936,1
2,1040,1
2,1092,1
2,1124,1
2,1725,1
2,1800,1
2,1817,1
2,1908,1
2,2111,2
2,2273,1
2,2516,1
2,2607,4
2,2794,2
2,2939,1
2,3063,1
2,3324,2
2,3351,1
2,3726,1
2,3731,1
2,3857,1
2,4124,1
2,4162,1
2,4278,1
3,275,2
3,471,1
3,472,1
3,519,3
3,606,1
3,704,1
3,1092,1
3,1341,1
3,1573,1
3,1654,1
3,1728,5
3,1802,2
3,2345,1
3,2347,1
3,2382,2
3,2444,1
3,2727,1
3,2740,2
3,2767,1
3,3238,1
3,3326,1
3,4030,1
3,4150,1
4,5,2
4,16,1
4,47,1
4,80,2
4,163,2
4,177,1
4,213,1
4,232,1
4,310,1
4,343,1
4,401,1
4,402,1
4,476,1
4,477,1
4,484,1
4,538,2
4,576,1
4,595,3
4,657,1
4,834,4
4,874,2
4,921,1
4,1200,1
4,1212,1
4,1254,1
4,1264,2
4,1274,1
4,1316,1
4,1317,1
4,1468,1
4,1469,1
4,1496,1
4,1606,1
4,1729,1
4,1829,1
4,1830,1
4,1858,4
4,1862,1
4,1963,1
4,1986,2
4,1987,1
4,2010,3
4,2060,1
4,2109,1
4,2150,1
4,2156,1
4,2168,1
4,2222,1
4,2283,1
4,2324,1
4,2336,1
4,2362,1
4,2443,1
4,2465,1
4,2540,1
4,2571,1
4,2586,1
4,2617,1
4,2645,1
4,2655,1
4,2700,1
4,2725,1
4,2744,1
4,2815,1
4,2817,2
4,2888,1
4,2925,2
4,3074,5
4,3144,1
4,3467,1
4,3528,1
4,3567,1
4,3572,1
4,3573,1
4,3657,3
4,3712,2
4,3823,1
4,3826,1
4,3930,1
4,4005,1
4,4029,1
4,4041,3
4,4055,1
4,4219,1
4,4248,1
5,16,1
5,180,2
5,225,1
5,281,1
5,326,1
5,393,2
5,868,6
5,882,1
5,1157,1
5,1270,3
5,1360,1
5,1407,1
5,1492,1
5,1755,1
5,1778,1
5,1822,1
5,1862,1
5,1936,3
5,1964,1
5,1986,1
5,2023,1
5,2129,1
5,2145,1
5,2345,1
5,2360,1
5,2459,1
5,2468,1
5,2740,1
5,2768,1
5,2839,1
5,3074,1
5,3282,1
5,3455,1
5,3660,1
5,3718,2
5,3777,3
5,3826,1
5,3914,1
5,3923,1
5,3961,1
5,3973,1
5,4001,1
5,4288,1
6,162,1
6,169,2
6,225,2
6,455,2
6,735,2
6,835,2
6,849,1
6,852,1
6,882,1
6,938,1
6,948,2
6,1030,2
6,1035,1
6,1270,2
6,1380,1
6,2145,1
6,3074,2
6,3142,1
6,3315,1
6,3356,2
6,3446,1
6,3544,1
6,3768,1
6,3798,1
6,3811,1
6,3886,1
6,3930,1
6,4055,2
6,4230,1
7,93,1
7,109,1
7,197,2
7,200,1
7,253,1
7,258,1
7,275,3
7,311,1
7,348,1
7,402,1
7,417,1
7,488,1
7,629,1
7,642,1
7,804,1
7,882,7
7,894,1
7,914,1
7,921,2
7,926,1
7,973,1
7,976,1
7,988,2
7,1080,1
7,1362,1
7,1374,5
7,1398,1
7,1409,1
7,1461,1
7,1509,1
7,1575,2
7,1646,1
7,1696,1
7,1711,1
7,1804,1
7,1921,1
7,1930,1
7,1948,2
7,2008,1
7,2105,1
7,2111,1
7,2183,1
7,2203,1
7,2234,1
7,2252,1
7,2297,1
7,2320,1
7,2331,3
7,2400,2
7,2548,1
7,2683,2
7,2738,2
7,2782,2
7,2853,3
7,2940,1
7,2962,1
7,2974,1
7,3019,1
7,3174,2
7,3238,1
7,3277,1
7,3282,1
7,3315,1
7,3326,1
7,3353,2
7,3595,1
7,3614,1
7,3625,1
7,3653,1
7,3718,2
7,3819,1
7,3907,1
7,3914,1
7,3961,1
7,3990,1
7,4075,1
7,4276,1
8,115,1
8,177,1
8,400,1
8,551,1
8,565,2
8,613,1
8,868,1
8,1014,1
8,1027,1
8,1136,1
8,1723,1
8,1792,1
8,1885,1
8,1972,1
8,1989,1
8,2163,1
8,2167,1
8,2556,1
8,2639,1
8,2721,1
8,2939,2
8,3165,1
8,3733,1
8,3819,1
8,3986,1
8,4133,1
8,4276,1
9,74,1
9,115,1
9,177,1
9,208,1
9,312,1
9,326,2
9,401,1
9,473,1
9,613,1
9,668,1
9,784,1
9,868,2
9,901,1
9,936,1
9,1037,1
9,1136,2
9,1296,1
9,1374,1
9,1394,1
9,1487,1
9,1543,1
9,1585,4
9,1723,1
9,1800,1
9,1949,1
9,2117,1
9,2141,1
9,2145,1
9,2251,1
9,2368,1
9,2556,3
9,2639,5
9,2739,1
9,2767,1
9,2859,1
9,2881,1
9,2921,4
9,2927,4
9,2971,1
9,3102,3
9,3131,1
9,3180,1
9,3277,2
9,3308,1
9,3360,1
9,3457,1
9,3470,1
9,3573,1
9,3617,1
9,3625,1
9,3670,1
9,3751,1
9,3810,1
9,3819,5
9,3950,1
9,3986,1
9,4133,1
9,4203,2
9,4284,1
10,87,1
10,105,1
10,109,1
10,142,1
10,326,1
10,355,1
10,486,1
10,868,1
10,882,2
10,970,1
10,1214,1
10,1363,1
10,1380,1
10,1677,1
10,2068,1
10,2197,3
10,2307,1
10,2556,3
10,2639,3
10,2699,1
10,2820,1
10,2829,1
10,2894,1
10,2962,1
10,3074,1
10,3179,1
10,3180,1
10,3712,1
10,3819,1
10,3826,1
10,3973,1
10,4041,1
10,4051,1
10,4208,1
11,74,1
11,142,1
11,210,1
11,223,5
11,326,1
11,341,1
11,343,8
11,361,3
11,486,1
11,488,1
11,576,1
11,623,1
11,718,4
11,812,8
11,839,2
11,868,12
11,909,3
11,970,4
11,1095,1
11,1138,1
11,1147,1
11,1198,1
11,1295,3
11,1363,1
11,1364,1
11,1461,1
11,1536,2
11,1597,1
11,1638,1
11,1666,1
11,1759,1
11,1780,1
11,1823,1
11,1932,1
11,1948,4
11,1972,2
11,2117,3
11,2134,2
11,2197,1
11,2241,1
11,2258,1
11,2315,1
11,2350,3
11,2555,1
11,2556,1
11,2576,2
11,2739,4
11,2819,1
11,2881,3
11,2928,3
11,2930,2
11,2939,1
11,2953,6
11,2987,1
11,3150,1
11,3172,1
11,3290,1
11,3311,4
11,3553,1
11,3607,1
11,3612,1
11,3616,1
11,3774,1
11,3796,2
11,3819,1
11,4010,1
11,4051,8
11,4194,1
12,10,1
12,74,1
12,249,1
12,275,1
12,318,1
12,343,1
12,361,5
12,368,1
12,393,1
12,495,1
12,521,1
12,595,1
12,605,1
12,623,1
12,718,6
12,776,3
12,812,5
12,868,4
12,921,1
12,967,1
12,1076,3
12,1131,1
12,1147,2
12,1155,1
12,1158,2
12,1198,1
12,1210,1
12,1303,1
12,1330,1
12,1417,1
12,1471,1
12,1533,1
12,1576,1
12,1666,1
12,1759,1
12,1776,1
12,1814,1
12,1908,1
12,1973,1
12,2017,1
12,2134,1
12,2241,1
12,2531,1
12,2636,1
12,2678,1
12,2686,1
12,2776,2
12,2816,1
12,2819,1
12,2967,1
12,3030,1
12,3039,1
12,3045,1
12,3050,1
12,3140,1
12,3143,1
12,3162,1
12,3256,1
12,3465,1
12,3585,1
12,3632,1
12,3805,1
12,4051,4
12,4058,1
12,4081,1
12,4086,1
12,4182,1
12,4203,1
12,4258,1
13,74,1
13,148,1
13,200,1
13,241,1
13,396,1
13,545,1
13,747,1
13,835,1
13,882,1
13,921,1
13,970,1
13,976,2
13,1037,1
13,1165,1
13,1339,1
13,1575,1
13,1798,1
13,1836,2
13,1858,1
13,1930,1
13,1948,1
13,2197,1
13,2345,1
13,2385,1
13,2556,1
13,2678,1
13,3143,1
13,3174,1
13,3268,1
13,3499,1
13,3559,1
13,3811,1
13,3826,2
13,4172,1
13,4301,1
14,105,1
14,180,4
14,188,1
14,200,1
14,241,1
14,244,2
14,275,2
14,276,1
14,304,1
14,311,1
14,349,1
14,476,1
14,477,1
14,482,1
14,631,1
14,663,2
14,795,2
14,978,2
14,1006,1
14,1033,1
14,1156,3
14,1179,5
14,1339,1
14,1376,1
14,1498,1
14,1539,1
14,1739,1
14,1802,1
14,1860,2
14,1932,1
14,1934,1
14,1972,1
14,1986,3
14,2024,1
14,2113,1
14,2223,1
14,2258,1
14,2318,1
14,2379,1
14,2382,1
14,2495,1
14,2881,1
14,2911,1
14,2971,1
14,2974,1
14,3059,1
14,3074,1
14,3161,1
14,3164,1
14,3382,1
14,3446,1
14,3499,1
14,3704,1
14,3727,2
14,3821,1
14,3826,1
14,4048,1
14,4099,1
14,4100,1
14,4276,1
15,74,1
15,128,1
15,362,2
15,380,1
15,488,3
15,670,3
15,733,1
15,868,2
15,915,1
15,970,1
15,1296,2
15,1409,1
15,1501,1
15,1585,1
15,1723,1
15,1759,1
15,1859,1
15,2100,1
15,2117,4
15,2141,2
15,2293,1
15,2350,1
15,2369,1
15,2639,2
15,2795,2
15,2897,1
15,2939,2
15,2968,1
15,3103,1
15,3125,1
15,3531,1
15,3548,1
15,3563,1
15,3568,1
15,3606,1
15,3625,1
15,3731,1
15,3796,1
15,3819,1
15,3950,1
15,4038,2
15,4253,2
16,868,2
16,966,2
16,1363,1
16,1575,2
16,1725,1
16,1751,1
16,1815,1
16,1858,1
16,1948,2
16,2117,1
16,2558,1
16,2639,3
16,2763,1
16,3353,1
16,4051,4
16,4115,1
17,16,1
17,47,4
17,212,1
17,343,11
17,372,1
17,488,2
17,531,1
17,718,3
17,812,4
17,839,1
17,868,2
17,882,1
17,1076,1
17,1117,2
17,1214,1
17,1295,1
17,1363,3
17,1409,1
17,1666,3
17,2046,1
17,2117,1
17,2235,1
17,2469,1
17,2531,2
17,2576,3
17,2627,1
17,2633,1
17,2639,3
17,2725,1
17,2739,3
17,2839,1
17,2881,2
17,2998,1
17,3025,1
17,3048,1
17,3134,3
17,3388,1
17,3607,1
17,3700,2
17,3819,1
17,3844,1
17,4041,1
17,4042,1
17,4051,3
17,4058,1
17,4086,1
17,4133,1
17,4197,1
17,4207,1
18,142,1
18,240,1
18,249,1
18,517,1
18,565,1
18,830,1
18,868,1
18,921,1
18,1027,1
18,1140,1
18,1151,1
18,1264,1
18,1308,1
18,1363,1
18,1948,1
18,2197,1
18,2369,1
18,2556,1
18,3683,1
19,115,1
19,361,3
19,431,2
19,565,1
19,718,3
19,743,1
19,752,1
19,804,1
19,882,1
19,1095,1
19,1131,1
19,1495,1
19,1690,1
19,1823,1
19,2100,1
19,2145,1
19,2197,2
19,2542,1
19,2556,3
19,2639,3
19,2795,1
19,2881,2
19,2890,1
19,2913,1
19,3074,1
19,3143,1
19,3295,1
19,3672,1
19,4051,5
19,4085,1
20,16,1
20,87,1
20,118,1
20,124,1
20,185,1
20,197,1
20,223,7
20,241,1
20,275,2
20,318,1
20,338,1
20,343,1
20,361,2
20,396,2
20,401,1
20,445,1
20,504,2
20,531,1
20,565,1
20,595,1
20,607,1
20,681,2
20,812,3
20,842,1
20,843,1
20,868,6
20,882,1
20,894,1
20,909,5
20,913,1
20,1138,1
20,1180,1
20,1408,1
20,1575,2
20,1696,1
20,1908,1
20,2007,1
20,2017,1
20,2241,1
20,2320,1
20,2421,2
20,2531,2
20,2556,1
20,2655,1
20,2676,1
20,2859,1
20,2953,1
20,2988,1
20,3025,1
20,3096,1
20,3138,1
20,3214,1
20,3627,1
20,3735,1
20,3891,1
20,3932,1
21,74,1
21,177,1
21,181,1
21,223,3
21,231,1
21,361,3
21,401,1
21,402,1
21,432,1
21,445,1
21,542,1
21,565,1
21,623,3
21,638,2
21,642,1
21,655,1
21,681,1
21,718,3
21,748,1
21,776,1
21,804,1
21,812,6
21,868,4
21,882,6
21,894,1
21,913,3
21,966,1
21,970,1
21,1040,1
21,1147,1
21,1154,1
21,1198,1
21,1210,1
21,1264,1
21,1299,1
21,1362,2
21,1374,2
21,1513,1
21,1533,2
21,1575,2
21,1666,2
21,1718,1
21,1819,1
21,1823,1
21,1932,1
21,1948,3
21,2117,1
21,2166,1
21,2241,2
21,2244,1
21,2350,1
21,2379,1
21,2412,1
21,2531,1
21,2556,1
21,2558,1
21,2613,1
21,2639,2
21,2676,1
21,2694,1
21,2913,2
21,2930,1
21,2937,2
21,2967,1
21,3030,1
21,3174,3
21,3391,1
21,3434,1
21,3448,1
21,3465,1
21,3531,1
21,3564,1
21,3585,1
21,3593,1
21,3632,1
21,3666,1
21,3699,1
21,3726,2
21,3805,1
21,3827,1
21,3985,1
21,4051,6
21,4058,2
21,4085,1
21,4249,1
22,223,1
22,253,1
22,396,1
22,473,1
22,488,3
22,503,1
22,613,1
22,671,1
22,697,1
22,721,1
22,774,1
22,868,1
22,965,1
22,1005,1
22,1009,2
22,1067,1
22,1198,1
22,1264,1
22,1415,1
22,1438,1
22,1466,1
22,1691,2
22,1711,1
22,1755,1
22,1824,1
22,1879,1
22,2024,1
22,2152,1
22,2189,1
22,2197,3
22,2222,1
22,2368,1
22,2385,1
22,2456,2
22,2478,1
22,2556,4
22,2570,1
22,2629,1
22,2950,1
22,3143,1
22,3248,1
22,3531,1
22,3641,1
22,3690,1
22,3810,2
22,3819,8
22,3860,1
22,4134,1
22,4194,1
22,4226,1
23,163,1
23,241,1
23,253,2
23,275,3
23,302,2
23,338,1
23,347,1
23,393,1
23,427,1
23,458,1
23,537,1
23,613,1
23,642,1
23,752,1
23,776,1
23,838,1
23,841,1
23,853,1
23,882,1
23,902,1
23,921,1
23,976,1
23,1034,2
23,1072,1
23,1094,1
23,1229,2
23,1409,1
23,1495,1
23,1576,1
23,1596,1
23,1859,1
23,1896,1
23,1930,4
23,1933,1
23,1986,3
23,2010,3
23,2032,1
23,2061,2
23,2103,1
23,2111,1
23,2183,1
23,2313,1
23,2345,1
23,2385,1
23,2469,2
23,2484,3
23,2522,1
23,2633,1
23,2657,1
23,2676,1
23,2685,1
23,2738,4
23,2741,1
23,2780,1
23,3044,1
23,3063,1
23,3074,1
23,3127,1
23,3142,1
23,3225,1
23,3315,1
23,3357,1
23,3359,1
23,3712,1
23,3718,1
23,3723,1
23,3805,2
23,3811,2
23,3885,1
23,3914,1
23,3955,2
23,3985,1
23,4207,1
24,380,1
24,439,2
24,488,1
24,613,1
24,679,1
24,735,1
24,759,1
24,852,1
24,910,1
24,913,1
24,978,1
24,1034,7
24,1154,1
24,1198,6
24,1254,1
24,1296,11
24,1304,1
24,1420,1
24,1630,1
24,1658,1
24,1671,1
24,1798,2
24,1929,2
24,1932,2
24,1934,1
24,2086,1
24,2091,1
24,2111,2
24,2120,1
24,2143,1
24,2165,1
24,2167,1
24,2217,1
24,2233,1
24,2293,1
24,2302,1
24,2458,1
24,2506,1
24,2576,1
24,2745,1
24,2829,1
24,3141,7
24,3252,1
24,3403,2
24,3419,1
24,3438,1
24,3627,1
24,3649,1
24,3699,1
